Name / Parking site 6,User Group,Entry / Start,Exit / Stop,Duration,Gross (amount paid),Fees,Net,Rate,Number Plate,Receipt,Reference,,,,,
6,Standard,30/12/23 14:20,01/01/24 10:22,1.20.01,$21.60,$0.75,$20.85,Weekend: Flat rate + Weekend: Flat rate + Weekend: Flat rate,,3268527,,,,,,
6,Standard,30/12/23 14:49,01/01/24 9:08,1.18.18,$21.60,$0.75,$20.85,Weekend: Flat rate + Weekend: Flat rate + Weekend: Flat rate,,3268496,,,,,,
6,Standard,30/12/23 16:00,01/01/24 10:07,1.18.06,$21.60,$0.75,$20.85,Weekend: Flat rate + Weekend: Flat rate + Weekend: Flat rate,,3268518,,,,,,
6,Standard,30/12/23 16:22,01/01/24 9:44,1.17.21,$21.60,$0.75,$20.85,Weekend: Flat rate + Weekend: Flat rate + Weekend: Flat rate,,3268506,,,,,,
6,Standard,31/12/23 12:07,01/01/24 11:44,00.23.36,$14.40,$0.50,$13.90,Weekend: Flat rate + Weekend: Flat rate,,3268591,,,,,,
5,Standard,28/12/23 15:48,01/01/24 12:29,3.20.40,$128.00,$5.76,$122.24,Daily: Flat Rate + Daily: Flat Rate + Daily: Flat Rate + Daily: Flat Rate + Daily: Flat Rate,,3268632,,,,,,
5,Standard,31/12/23 09:51,01/01/24 07:12,0.21.20,$51.20,$1.79,$49.41,Daily: Flat Rate + Daily: Flat Rate,,3268441,,,,,,
5,Standard,31/12/23 13:11,01/01/24 10:16,0.21.4,$51.20,$1.79,$49.41,Daily: Flat Rate + Daily: Flat Rate,,3268524,,,,,,
5,Standard,31/12/23 13:35,01/01/24 13:47,1.0.12,$51.20,$1.79,$49.41,Daily: Flat Rate + Daily: Flat Rate,,3268705,100014537974570,,,,,
3,Standard,31/12/23 07:58,01/01/24 01:20,0.17.21,$24.00,$0.84,$23.16,Weekend: Flat Rate,,3268119,,,,,,
3,Standard,31/12/23 16:12,01/01/24 22:23,1.6.11,$48.00,$1.68,$46.32,Weekend: Flat Rate + Weekend: Flat Rate,,3269326,100014538016193,,,,,
3,Standard,01/01/24 13:02,01/01/24 16:12,0.3.9,$21.00,$0.73,$20.27,Weekend: Flat Rate,,3268892,,,,,,
3,Standard,01/01/24 15:12,01/01/24 18:39,0.3.26,$24.00,$0.84,$23.16,Weekend: Flat Rate,,3269119,,,,,,
3,Standard,01/01/24 16:30,01/01/24 22:41,0.6.11,$24.00,$0.84,$23.16,Weekend: Flat Rate,,3272254,,,,,,
3,Standard,01/01/24 18:55,01/01/24 22:15,0.3.20,$24.00,$0.84,$23.16,Weekend: Flat Rate,,3269319,,,,,,
3,Standard,01/01/24 20:55,01/01/24 22:56,0.2.0,$24.00,$0.84,$23.16,Weekend: Flat Rate,,3269390,,,,,,
2,Standard,30/12/23 14:27,01/01/24 11:00,1.20.33,$52.80,$1.84,$50.96,Weekend: Flat Rate + Weekend: Flat Rate + Weekend: Flat Rate,,3268558,,,,,,
2,Standard,31/12/23 09:51,01/01/24 00:40,0.14.48,$17.60,$0.61,$16.99,Weekend: Flat Rate,,3268031,,,,,,
2,Standard,31/12/23 11:52,01/01/24 01:27,0.13.34,$17.60,$0.61,$16.99,Weekend: Flat Rate,,3268128,,,,,,
2,Standard,31/12/23 12:59,01/01/24 01:08,0.12.8,$17.60,$0.79,$16.81,Weekend: Flat Rate,,3268080,,,,,,
2,Standard,31/12/23 13:26,01/01/24 01:39,0.12.12,$17.60,$0.61,$16.99,Weekend: Flat Rate,,3268151,,,,,,
2,Standard,31/12/23 13:29,01/01/24 01:17,0.11.47,$17.60,$0.61,$16.99,Weekend: Flat Rate,,3268104,,,,,,
2,Standard,31/12/23 13:43,01/01/24 02:43,0.13.0,$12.80,$0.57,$12.23,Police Weekend: Flat Rate,,3268222,,,,,,
2,Standard,31/12/23 13:50,01/01/24 12:14,0.22.23,$35.20,$1.23,$33.97,Weekend: Flat Rate + Weekend: Flat Rate,,3268624,,,,,,
2,Standard,31/12/23 13:51,01/01/24 11:48,0.21.57,$35.20,$1.23,$33.97,Weekend: Flat Rate + Weekend: Flat Rate,,3268596,,,,,,
2,Standard,31/12/23 14:01,01/01/24 04:35,0.14.33,$35.20,$1.23,$33.97,Weekend: Flat Rate + Weekend: Flat Rate,,3268298,,,,,,
2,Standard,31/12/23 14:04,01/01/24 02:19,0.12.15,$12.80,$0.44,$12.36,Police Weekend: Flat Rate,,3268196,,,,,,
2,Standard,31/12/23 14:25,01/01/24 16:01,1.1.36,$24.00,$0.84,$23.16,Darlings Weekend: Flat Rate + Darlings Weekend: Flat Rate,,3268869,,,,,,
2,Standard,31/12/23 14:41,01/01/24 03:08,0.12.26,$12.80,$0.44,$12.36,Police Weekend: Flat Rate,,3268244,,,,,,
2,Standard,31/12/23 15:03,01/01/24 03:22,0.12.18,$12.80,$0.44,$12.36,Police Weekend: Flat Rate,,3268259,,,,,,
2,Standard,31/12/23 15:10,01/01/24 05:19,0.14.9,$4.00,$0.20,$3.80,Police Overnight: Flat Rate,,3268310,,,,,,
2,Standard,31/12/23 15:13,01/01/24 04:35,0.13.22,$4.00,$0.20,$3.80,Police Overnight: Flat Rate,,3268299,,,,,,
2,Standard,31/12/23 15:17,01/01/24 02:26,0.11.8,$12.80,$0.57,$12.23,Police Weekend: Flat Rate,,3268203,100014537887214,,,,,
2,Standard,31/12/23 15:20,01/01/24 01:25,0.10.5,$17.60,$0.61,$16.99,Weekend: Flat Rate,,3268133,,,,,,
2,Standard,31/12/23 15:30,01/01/24 03:08,0.11.37,$12.80,$0.44,$12.36,Police Weekend: Flat Rate,,3268243,100014537890748,,,,,
2,Standard,31/12/23 15:49,01/01/24 03:23,0.11.33,$12.80,$0.44,$12.36,Police Weekend: Flat Rate,,3268258,100014537893922,,,,,
2,Standard,31/12/23 15:49,01/01/24 03:36,0.11.46,$12.80,$0.44,$12.36,Police Weekend: Flat Rate,,3268277,100014537893954,,,,,
2,Standard,31/12/23 15:52,01/01/24 05:20,0.13.28,$4.00,$0.20,$3.80,Police Overnight: Flat Rate,,3268311,,,,,,
2,Standard,31/12/23 15:58,01/01/24 01:35,0.9.36,$17.60,$0.61,$16.99,Weekend: Flat Rate,,3268145,100014537878952,,,,,
2,Standard,31/12/23 16:01,01/01/24 00:48,0.8.46,$12.00,$0.42,$11.58,Darlings Weekend: Flat Rate,,3268042,100014537874865,,,,,
2,Standard,31/12/23 16:10,01/01/24 04:35,0.12.24,$4.00,$0.20,$3.80,Police Overnight: Flat Rate,,3268296,100014537896085,,,,,
2,Standard,31/12/23 16:11,01/01/24 00:41,0.8.30,$17.60,$0.61,$16.99,Weekend: Flat Rate,,3268032,,,,,,
2,Standard,31/12/23 16:19,01/01/24 06:33,0.14.14,$4.00,$0.20,$3.80,Police Overnight: Flat Rate,,3268437,100014537919980,,,,,
2,Standard,31/12/23 16:24,01/01/24 03:11,0.10.47,$12.80,$0.44,$12.36,Police Weekend: Flat Rate,,3268252,100014537890752,,,,,
2,Standard,31/12/23 16:34,01/01/24 04:53,0.12.19,$4.00,$0.20,$3.80,Police Overnight: Flat Rate,,3268305,100014537897019,,,,,
2,Standard,31/12/23 16:40,01/01/24 02:40,0.10.0,$12.00,$0.42,$11.58,Darlings Weekend: Flat Rate,,3268226,,,,,,
2,Standard,31/12/23 17:00,01/01/24 12:04,0.19.3,$24.00,$0.84,$23.16,Darlings Weekend: Flat Rate + Darlings Weekend: Flat Rate,,3268605,,,,,,
2,Standard,31/12/23 17:03,01/01/24 00:53,0.7.50,$17.60,$0.61,$16.99,Weekend: Flat Rate,,3268057,,,,,,
2,Standard,31/12/23 17:19,01/01/24 01:06,0.7.46,$17.60,$0.61,$16.99,Weekend: Flat Rate,,3268082,,,,,,
2,Standard,31/12/23 17:31,01/01/24 01:42,0.8.10,$17.60,$0.61,$16.99,Weekend: Flat Rate,,3268162,,,,,,
2,Standard,31/12/23 17:39,01/01/24 01:06,0.7.27,$17.60,$0.61,$16.99,Weekend: Flat Rate,,3268084,,,,,,
2,Standard,31/12/23 17:50,01/01/24 02:26,0.8.35,$17.60,$0.61,$16.99,Weekend: Flat Rate,,3268208,,,,,,
2,Standard,31/12/23 17:52,01/01/24 01:20,0.7.27,$17.60,$0.61,$16.99,Weekend: Flat Rate,,3268101,,,,,,
2,Standard,31/12/23 17:58,01/01/24 04:57,0.10.59,$4.00,$0.20,$3.80,Police Overnight: Flat Rate,,3268307,100014537897005,,,,,
2,Standard,31/12/23 17:58,01/01/24 08:25,0.14.26,$12.80,$0.44,$12.36,Police Weekend: Flat Rate,,3268466,100014537935500,,,,,
2,Standard,31/12/23 18:46,01/01/24 01:05,0.6.19,$17.60,$0.61,$16.99,Weekend: Flat Rate,,3268073,,,,,,
2,Standard,31/12/23 18:50,01/01/24 01:19,0.6.29,$17.60,$0.61,$16.99,Weekend: Flat Rate,,3268098,100014537876186,,,,,
2,Standard,31/12/23 19:03,01/01/24 12:00,0.16.56,$35.20,$1.58,$33.62,Weekend: Flat Rate + Weekend: Flat Rate,,3268602,,,,,,
2,Standard,01/01/24 05:51,01/01/24 17:53,0.12.1,$17.60,$0.61,$16.99,Weekend: Flat Rate,,3269068,,,,,,
2,Standard,01/01/24 05:59,01/01/24 19:02,0.13.3,$12.80,$0.44,$12.36,Police Weekend: Flat Rate,,3269133,100014538001978,,,,,
2,Standard,01/01/24 06:11,01/01/24 19:09,0.12.57,$12.80,$0.57,$12.23,Police Weekend: Flat Rate,,3269140,100014538002055,,,,,
2,Standard,01/01/24 06:32,01/01/24 16:35,0.10.3,$17.60,$0.61,$16.99,Weekend: Flat Rate,,3268955,,,,,,
2,Standard,01/01/24 08:31,01/01/24 12:21,0.3.50,$17.60,$0.61,$16.99,Weekend: Flat Rate,,3268630,100014537968353,,,,,
2,Standard,01/01/24 09:11,01/01/24 23:14,0.14.3,$17.60,$0.61,$16.99,Weekend: Flat Rate,,3269398,,,,,,
2,Standard,01/01/24 09:21,01/01/24 13:33,0.4.12,$17.60,$0.61,$16.99,Weekend: Flat Rate,,3268688,,,,,,
2,Standard,01/01/24 09:27,01/01/24 12:10,0.2.43,$17.60,$0.61,$16.99,Weekend: Flat Rate,,3268616,,,,,,
2,Standard,01/01/24 09:34,01/01/24 11:44,0.2.10,$17.60,$0.61,$16.99,Weekend: Flat Rate,,3268590,100014537951956,,,,,
2,Standard,01/01/24 09:34,01/01/24 21:20,0.11.45,$12.80,$0.44,$12.36,Police Weekend: Flat Rate,,3269288,100014538012743,,,,,
2,Standard,01/01/24 09:45,01/01/24 11:32,0.1.47,$17.60,$0.61,$16.99,Weekend: Flat Rate,,3268585,,,,,,
2,Standard,01/01/24 10:19,01/01/24 13:02,0.2.43,$17.60,$0.79,$16.81,Weekend: Flat Rate,,3268663,,,,,,
2,Standard,01/01/24 10:22,01/01/24 20:03,0.9.41,$17.60,$0.61,$16.99,Weekend: Flat Rate,,3269189,100014538007443,,,,,
2,Standard,01/01/24 10:24,01/01/24 18:51,0.8.27,$17.60,$0.61,$16.99,Weekend: Flat Rate,,3269124,,,,,,
2,Standard,01/01/24 10:44,01/01/24 13:46,0.3.2,$17.60,$0.61,$16.99,Weekend: Flat Rate,,3268706,,,,,,
2,Standard,01/01/24 10:45,01/01/24 16:08,0.5.22,$17.60,$0.61,$16.99,Weekend: Flat Rate,,3268886,,,,,,
2,Standard,01/01/24 10:53,01/01/24 16:45,0.5.51,$17.60,$0.61,$16.99,Weekend: Flat Rate,,3268981,,,,,,
